function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,text,Y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,"my personal preference ""tristan und isolde"" , like so many others, is the famous '60s bayreuth recording conducted by karl bohm with the unstoppable birgit nilsson and a gratifyingly musical wolfgang windgassen, along with christa ludwig, eberhard wachter, and martti talvela.  in other words, the sixties ""a list"".  it is a performance that is simply mesmerizing in such a way that it has enthralled wagner devotees now for over four decades, with no sign of its' legions diminishing.  what is even more important about this recording is that the male lead, wolfgang windgassen, is an artist, whatever his virtues might be, who was never ordained vocally to sing the wagnerian tenor roles he specialized in for over two decades.  it is as good an example as one can make that an intelligent singer can sing for a very long time, even in a repertoire he wasn't exactly born to do.  windgassen, it seems to me, had the rare gift of being absolutely objective about his limitations, and by finding a way to sing this difficult music without ever overstepping those limitations, enjoyed a long, successful and i am sure gratifying career.  and this brings one to the tristan on this present recording.  placido domingo, it seems to me, truly understands his voice, its' strengths as well as its' limitations, and has seldom been tempted to step outside the boundaries he has set for himself.  the reward for doing that is a career that is now in excess of four decades.  four decades!  it boggles the mind.  and what is the downside of this rare intelligence?  well, it is obvious.  there are certain roles he would probably have loved to sing that he simply felt were not wise for him to do.  at least on stage.  one of them, i am quite sure, was tristan.  i am sure he could have done the role on stage.  i am equally sure it would have taken its' toll, as it almost invariably does.  domingo withstood the temptation.  and now, in the twilight of his career, he offers us a recorded tristan that is really quite remarkable.  he retains a great deal of the beauty his voice had when we all sat up and took notice of him 30 or more years ago.  his vocal line is intact.  the role, though relentless, is not high, which allows domingo to avoid the precarious high notes any tenor in his mid-60s might be concerned about.  and, of course, it allows him to sing a roll that concentrates its' range in that part of domingo's voice that still works beautifully.  so, here we have a tristan sung very well, perhaps even the best ever recorded, at least in stereo.  that said, domingo doesn't quite portray the anguish required in act three.  in fact, at least to me, he sounds just a bit light of voice, if you can imagine, in the final pages of his role.  i think for a tenor to really pull off act three he needs stage experience in the roll.  listen to windgassen.  or even the great jon vickers in the karajan set.  they have that extra something here which actual on stage performance gives.  nina stemme is quite fine here as isolde. admittedly, it is not possible for me to tell if she has been abetted by the recording engineers.  i can only go by what i hear, and i hear a very fine artist taking measure of a difficult role, and, on all counts, equitting herself well.  if this recording is any evidence, she should have a fine career ahead of her.  the rest of the cast is first rate. pappano's conducting and the covent garden forces playing can not be faulted.  i found the digital recording, a first for ""tristan und isolde"", to be outstanding.  it is very wide ranging, and i imagine fairs best on sound systems that are up to the digital demands of today.  this is not, as i have said, the first ""tristan"" to be added to my collection.  and it is certainly not the only ""tristan"" in my collection.  but it holds a very special spot in my collection, and i am thrilled to have it.",0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rich worship music from a musician who has been redeemed and found his way home and shares worship with us. it is not contemporary music. it is reverential worship.,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"a wonderful cd by a the best singer of gospel music. i bought it for until then, but there are so many other favorites of mine on there as well.",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,can someone please have this for purchase on cd.  i just love to hear evie sing and it would mean alot to me if this would be available on cd format.  thanks so much folks...will not give up looking !!!!!!!!!,1
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"this album is a silver classic,since it was released in 1982. ray parker jr. had disbanded raydio the previous year,and converted from disco-ish r&b to funk rock,the same league that prince is in and the late rick james was in. the big hit from this album is the title track which sure got a lot or airplay on mtv. the most memorable smooth groove is let me go. both tracks appeared on parker's 1993 greatest hits cd. i recently saw the title track video on [...]. this album has been long out-of-print(the cd format) in the united states. you will find used copies where used cd's are sold,though.",1
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,"the 2nd solo album from bonnie pointer is another self-titled album title, which features mostly remakes of motown oldies, featuring a purple cover with a drawing of her. ultimately, it is not as rewarding as her excellent 1st solo album released just one year prior to this that has a red cover. i don't know why the decision was to redo more old motown songs from the 60's , whether it was her decision, producer jeffrey bowen or motown . only 6 songs, with only 1 song being an original new song, deep in my soul, which is excellent! it is a ballad much in the vein of the inventive tunes on her 1st album. it's what this album should have contained more of - original music.   as for the other 5 songs, i guess since heaven must have sent you was a big hit, they combed the motown catalog for more classics to redo. it's far too many to have done. what should have been a step forward in doing more progressive music like on her 1st album, was instead a fatal error that pretty much ended her solo career. this easily could have been an ep, and probably should have been only that, not a 2nd full album of remakes. of these i can't help myself , jimmy mack, when the lovelight starts shining through his eyes are the best. the arrangements are at least new & different than the original versions. but really, how could she top the original versions. it's a case of overdoing it. even the presence of sly stone and freddie stewart paying on 2 songs doesn't add up to much, as well as ollie e. brown, truman thomas and nathan east - all top session men. i once read that there were more recordings done for her 2nd album, but they were shelved in place of this. grave error. this could have advanced bonnie's career had it been filled with great songs like her 1st. and why name it bonnie pointer like the 1st? all it has done is confuse people.   so, if you like bonnie's singing, and she sings great on here, or motown oldies remade, you'll like this. otherwise, get her 1st slo album - it is amazing. bonnie ledt motown after this album, and recorded one more solo album, if the price is right, in 1984 for the private i label. that is better than this album, features all original songs, and even has ruth & anita singing background vocals on 2 songs. the pointer sisters , of course, were now platinum recording artists with a string of hit singles and albums . a shame she won't be let back into the group, but since she left in 1978, that was it for her with her sisters as a group.   released in late 1979 on motown m7-929r1 with the purple cover. songs: i can't help myself, jimmy mack, when the lovelight starts shining through his eyes, deep inside my soul, come see about me, nowhere to run.",0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,"i have this song and also i have the cd. of course this product is just one song, isn't it the price of each mp3 in amazon? well the song is excellent, good rhythm, great lyrics, astonishing mix. i'd give ten out of five if i could.",0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,one star simply because a no-star is not available. why waste one moment on your precious life listening to this?,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i am a sucker for this style of music, but this album delivered. we even used it for my daughter's wedding. great stuff.",0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"love their comedy i grew up on it, enjoy listening because some of what they say is true and i identify with it",1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,enjoy this cd very much.  very comforting music.,1
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,good gospel stuff. kinda like elvis but still alive and really good ol gospel music. check out his song it's a good morning.,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wanted music to exercise to. this is a good album for that.,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"for under ten bucks, this is a fantastic group of songs. i don't like all of them, but for the ones i did like, it's a real bargain.  the use of many remasters really makes it worth it. these songs sound great. ...and it has the clearest original recording of ""gimme' some lovin'"" i've ever experienced.",0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"how do i describe this collaboration in a way that it can do justice to the album? i have been a big fan mr. shankar and mr. glass's separately for years and i had heard some of the compositions from this collaboration in passing. but i had never made an effort to buy the whole album and listen to it to my heart's content. finally two years ago i bought it and that's easily the best amount i've ever spent on an album. ragas in minor scale is one of my favorites from the album. the way mr. glass brings celtic sounds to traditional indian ragas (bhiravi and ahir bhirav are the main ones) is just mesmerizing. if you are an admirer of shankar's or glass's, you won't be disappointed.",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i love this fun and funny johnny cash recording, but i wish they had it in cd format. it's a classic.",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i have been so blessed and moved by the authentic worship in misty's songs. i find myself singing along and entering in to spontaneous prayer and meditation while listening to this music and worshipping jesus.,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"finally after 35 years a download of bill withers diamond of an album. amazon will make alot of $$$$$ now that this and the 3 others are available too buy. we people of the 1970's have been waiting it seems like forever and here it is. thanks to amazon. com for listening too the people of the "" world "" and i mean it you will see .",0
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"a classic....truly. the soundtrack to the movie about the creation of def jam records is a must for anyone that loves hip-hop. sheila e. is actually the stand-out here, she really shows her diversity and her huge, famous hit 'a love bizarre' is from this soundtrack. too bad this is not available on cd or on i-tunes! i had to buy lp and transfer to cd. this classic needs to be re-released on i-tunes!",1
